Fecha,CO,NO2,PM2.5,VEL,DIR,TMP,RS
2023-10-01 00:00:00,0.611,33.25,9.41,1.11,267.72,13.13,0.0
2023-10-01 01:00:00,0.549,31.67,9.52,1.61,275.16,12.61,0.0
2023-10-01 02:00:00,0.368,20.47,6.12,1.83,274.4,12.06,0.0
2023-10-01 03:00:00,0.286,14.05,3.22,1.95,273.62,11.87,0.0
2023-10-01 04:00:00,0.315,18.22,4.29,2.08,281.3,11.43,0.0
2023-10-01 05:00:00,0.638,43.96,4.03,1.24,263.28,11.36,0.0
2023-10-01 06:00:00,0.647,38.13,12.1,1.66,250.43,12.02,65.7
2023-10-01 07:00:00,0.516,25.26,3.4,1.99,225.6,14.81,318.9
2023-10-01 08:00:00,0.363,13.23,12.75,0.45,133.65,17.25,570.0
2023-10-01 09:00:00,0.349,12.79,11.78,1.13,41.48,18.18,839.2
2023-10-01 10:00:00,0.267,8.03,13.5,1.65,70.72,19.69,899.3
2023-10-01 11:00:00,0.252,10.99,16.07,2.23,63.67,19.7,573.5
2023-10-01 12:00:00,0.247,8.11,15.14,2.32,75.13,19.92,481.1
2023-10-01 13:00:00,0.209,7.14,0.69,2.9,123.84,20.21,642.5
2023-10-01 14:00:00,0.247,8.42,12.98,2.68,91.39,20.16,316.1
2023-10-01 15:00:00,0.385,11.33,13.9,3.38,15.03,19.31,335.1
2023-10-01 16:00:00,0.417,14.08,11.15,3.34,12.56,18.89,252.1
2023-10-01 17:00:00,0.323,12.1,11.13,2.86,20.58,17.67,64.1
2023-10-01 18:00:00,0.476,31.34,5.36,2.23,77.31,16.62,0.0
2023-10-01 19:00:00,0.65,44.75,11.31,1.98,65.03,15.55,0.0
2023-10-01 20:00:00,0.664,42.95,12.39,0.57,100.25,14.53,0.0
2023-10-01 21:00:00,0.561,36.23,12.55,1.29,72.67,13.21,0.0
2023-10-01 22:00:00,0.525,36.25,12.65,0.62,49.73,12.8,0.0
2023-10-01 23:00:00,0.425,36.96,12.45,0.39,98.4,12.55,0.0
2023-10-02 00:00:00,0.423,27.62,32.95,0.84,265.8,12.18,0.0
2023-10-02 01:00:00,0.39399999999999996,25.47,18.23,0.74,267.82,12.18,0.0
2023-10-02 02:00:00,0.365,20.38,16.6,1.3,273.81,11.84,0.0
2023-10-02 03:00:00,0.305,24.695,12.4,1.35,270.32,11.53,0.0
2023-10-02 04:00:00,0.381,29.01,10.89,0.45,259.6,11.16,0.0
2023-10-02 05:00:00,0.558,40.14,7.53,0.42,253.4,11.13,0.0
2023-10-02 06:00:00,1.618,58.45,21.08,0.17,159.97,12.14,74.0
2023-10-02 07:00:00,2.28,80.02,45.34,0.65,118.59,15.47,286.6
2023-10-02 08:00:00,1.892,90.3,62.57,0.82,90.71,17.51,538.2
2023-10-02 09:00:00,0.793,42.32,47.63,0.69,70.12,18.66,806.2
2023-10-02 10:00:00,0.301,13.45,12.53,2.17,81.51,19.71,1002.1
2023-10-02 11:00:00,0.272,10.36,16.08,2.58,80.18,20.89,1109.0
2023-10-02 12:00:00,0.35,11.99,11.56,2.25,57.47,21.8,892.4
2023-10-02 13:00:00,0.431,14.27,10.85,3.28,23.69,22.04,898.8
2023-10-02 14:00:00,0.427,23.28,28.15,0.52,115.5,20.18,191.9
2023-10-02 15:00:00,0.42,20.76,17.47,1.17,245.3,17.74,222.1
2023-10-02 16:00:00,0.407,20.15,1.19,2.02,33.39,18.7,285.6
2023-10-02 17:00:00,0.469,30.86,16.21,2.32,99.77,16.91,51.7
2023-10-02 18:00:00,0.6,44.47,19.06,1.84,92.42,14.72,0.0
2023-10-02 19:00:00,0.615,43.05,14.08,1.94,78.53,13.82,0.0
2023-10-02 20:00:00,0.551,39.42,12.5,1.79,94.03,13.47,0.0
2023-10-02 21:00:00,0.445,28.36,16.56,2.0,98.66,12.94,0.0
2023-10-02 22:00:00,0.492,31.33,13.7,1.18,119.92,13.19,0.0
